iter	Passed	Remaining
0	1	1285
1	2	1282
2	3	1021
3	3	895
4	4	816
5	4	744
6	5	732
7	5	699
8	6	687
9	6	672
10	7	651
11	7	635
12	8	623
13	8	608
14	9	592
15	9	595
16	10	588
17	10	587
18	11	578
19	11	577
20	12	578
21	12	575
22	13	571
23	13	567
24	14	563
25	14	560
26	15	557
27	15	552
28	16	551
29	16	547
30	17	542
31	17	540
32	18	538
33	18	535
34	19	535
35	19	534
36	20	533
37	20	530
38	21	529
39	21	525
40	22	521
41	22	522
42	23	520
43	23	517
44	24	513
45	24	511
46	25	509
47	25	509
48	26	512
49	26	512
50	27	510
51	27	508
52	28	507
53	29	508
54	29	507
55	30	506
56	30	505
57	31	504
58	31	502
59	31	501
60	32	499
61	32	499
62	33	497
63	34	497
64	34	497
65	35	497
66	35	495
67	35	493
68	36	492
69	36	490
70	37	489
71	37	486
72	38	485
73	38	484
74	39	484
75	39	482
76	40	483
77	41	485
78	41	486
79	42	485
80	42	484
81	43	485
82	43	484
83	44	485
84	45	484
85	45	485
86	46	484
87	46	483
88	47	482
89	47	482
90	48	480
91	48	480
92	49	479
93	49	479
94	50	478
95	50	477
96	51	477
97	51	476
98	52	476
99	52	475
100	53	475
101	53	474
102	54	473
103	54	473
104	55	473
105	56	472
106	56	471
107	57	471
108	57	470
109	58	472
110	58	471
111	59	470
112	59	470
113	60	470
114	61	470
115	61	469
116	62	468
117	62	467
118	62	466
119	63	465
120	64	465
121	64	465
122	65	463
123	65	463
124	66	462
125	66	461
126	67	460
127	67	459
128	67	458
129	68	457
130	68	457
131	69	456
132	70	456
133	70	456
134	71	455
135	71	454
136	72	454
137	72	454
138	73	454
139	73	453
140	74	451
141	74	451
142	75	450
143	75	449
144	76	449
145	76	448
146	77	448
147	77	447
148	78	446
149	78	446
150	79	445
151	79	444
152	80	444
153	80	443
154	81	443
155	82	444
156	82	443
157	83	443
158	83	443
159	84	442
160	84	442
161	85	441
162	86	441
163	86	441
164	87	441
165	87	440
166	88	439
167	88	438
168	89	437
169	89	437
170	90	437
171	90	436
172	91	436
173	91	435
174	92	436
175	93	435
176	93	435
177	94	434
178	94	434
179	95	433
180	95	433
181	96	432
182	96	431
183	97	431
184	98	431
185	98	431
186	99	430
187	99	430
188	100	429
189	100	429
190	101	428
191	102	431
192	102	430
193	103	429
194	103	429
195	104	428
196	104	427
197	105	427
198	106	428
199	106	427
200	107	426
201	107	426
202	108	425
203	109	427
204	110	426
205	110	425
206	110	424
207	111	424
208	111	423
209	112	422
210	112	422
211	113	421
212	113	421
213	114	420
214	115	419
215	115	419
216	115	418
217	116	417
218	116	416
219	117	416
220	117	415
221	118	415
222	119	414
223	119	413
224	119	413
225	120	412
226	120	412
227	121	411
228	121	410
229	122	409
230	122	408
231	123	408
232	123	407
233	124	407
234	124	406
235	125	405
236	125	405
237	126	404
238	126	403
239	127	402
240	127	402
241	128	401
242	128	401
243	129	401
244	130	400
245	130	400
246	131	400
247	132	400
248	132	399
249	133	399
250	133	398
251	134	399
252	135	399
253	135	398
254	136	397
255	136	397
256	137	396
257	137	396
258	138	395
259	138	395
260	139	394
261	139	393
262	140	393
263	140	392
264	141	392
265	141	391
266	142	390
267	142	390
268	143	389
269	143	388
270	144	388
271	144	387
272	145	386
273	145	386
274	146	385
275	146	384
276	147	384
277	147	383
278	148	382
279	148	382
280	149	381
281	149	381
282	150	380
283	150	380
284	151	380
285	152	379
286	152	378
287	152	378
288	153	378
289	154	377
290	154	376
291	155	376
292	155	375
293	156	374
294	156	374
295	157	373
296	157	373
297	158	372
298	158	371
299	159	371
300	159	370
301	160	370
302	160	369
303	161	369
304	161	368
305	162	368
306	162	367
307	163	366
308	163	366
309	164	365
310	164	365
311	165	364
312	165	364
313	166	363
314	166	362
315	167	362
316	167	361
317	168	361
318	168	360
319	169	360
320	169	359
321	170	358
322	170	358
323	171	357
324	171	356
325	172	356
326	172	355
327	173	354
328	173	353
329	174	353
330	174	352
331	175	352
332	175	351
333	176	351
334	176	350
335	177	350
336	177	349
337	178	349
338	178	348
339	179	347
340	179	347
341	180	347
342	180	346
343	181	345
344	181	345
345	182	344
346	182	343
347	183	343
348	183	342
349	184	341
350	184	341
351	185	340
352	185	340
353	186	339
354	186	339
355	187	338
356	187	337
357	188	337
358	188	336
359	189	336
360	189	335
361	190	335
362	190	334
363	191	334
364	191	333
365	192	333
366	193	333
367	193	332
368	194	332
369	194	331
370	195	331
371	195	330
372	196	330
373	196	329
374	197	329
375	198	328
376	198	328
377	199	327
378	199	326
379	200	326
380	200	326
381	201	325
382	201	325
383	202	324
384	202	323
385	203	323
386	203	322
387	204	322
388	204	321
389	205	321
390	205	320
391	206	320
392	206	319
393	207	318
394	207	318
395	208	317
396	208	317
397	209	316
398	209	315
399	210	315
400	210	314
401	211	314
402	211	313
403	212	312
404	212	312
405	213	311
406	213	311
407	214	310
408	214	310
409	215	309
410	215	309
411	216	308
412	216	308
413	217	307
414	217	307
415	218	306
416	218	306
417	219	305
418	220	305
419	220	304
420	221	303
421	221	303
422	221	302
423	222	302
424	223	301
425	223	301
426	223	300
427	224	299
428	225	299
429	225	299
430	226	298
431	226	298
432	227	297
433	227	297
434	228	296
435	228	295
436	229	295
437	229	294
438	230	294
439	230	293
440	231	292
441	231	292
442	232	291
443	232	291
444	233	290
445	234	291
446	234	290
447	235	289
448	235	289
449	236	288
450	236	288
451	237	287
452	237	287
453	238	286
454	238	286
455	239	285
456	239	285
457	240	284
458	240	283
459	241	283
460	241	282
461	242	282
462	242	281
463	243	281
464	244	281
465	244	280
466	245	280
467	246	279
468	246	279
469	247	278
470	247	278
471	248	277
472	248	276
473	249	276
474	249	276
475	250	275
476	250	275
477	251	274
478	251	273
479	252	273
480	252	272
481	253	272
482	253	271
483	254	271
484	254	270
485	255	270
486	255	269
487	256	268
488	256	268
489	257	267
490	257	267
491	258	266
492	258	266
493	259	265
494	259	265
495	260	264
496	260	263
497	261	263
498	261	262
499	262	262
500	262	261
501	263	261
502	263	260
503	264	260
504	264	259
505	265	258
506	265	258
507	266	257
508	267	257
509	267	257
510	268	256
511	268	255
512	269	255
513	269	254
514	270	254
515	270	253
516	271	253
517	272	253
518	272	252
519	273	252
520	274	252
521	274	251
522	275	251
523	275	250
524	276	250
525	276	249
526	277	249
527	278	248
528	278	247
529	278	247
530	279	246
531	279	246
532	280	245
533	280	245
534	281	244
535	282	244
536	282	243
537	283	243
538	283	242
539	284	242
540	284	241
541	285	240
542	285	240
543	286	239
544	286	239
545	287	238
546	287	238
547	288	237
548	288	237
549	289	236
550	289	236
551	290	235
552	290	234
553	291	234
554	291	233
555	292	233
556	292	232
557	293	232
558	293	231
559	293	230
560	294	230
561	295	229
562	295	229
563	296	228
564	296	228
565	297	227
566	298	227
567	298	227
568	299	226
569	299	225
570	300	225
571	300	224
572	300	224
573	301	223
574	301	223
575	302	222
576	303	222
